id	vocabulary_code	concept_a	concept_b	pos_a	pos_b	words_a_english	gloss_a_english	words_b_english	gloss_b_english	words_a_target	gloss_a_target	words_b_target	gloss_b_target	word_a	word_b	relation
1	deu	61736	93618	noun	verb	mildew; 	a fungus that produces a superficial (usually white) growth on organic matter	mold; mildew; 	become moldy; spoil due to humidity	mehltau; schimmel; 	NO_GLOSS	verschimmeln; schimmeln; 	NO_GLOSS	schimmel	verschimmeln	DERIVATIONALLY_RELATED_FORM
2	deu	61736	93618	noun	verb	mildew; 	a fungus that produces a superficial (usually white) growth on organic matter	mold; mildew; 	become moldy; spoil due to humidity	mehltau; schimmel; 	NO_GLOSS	verschimmeln; schimmeln; 	NO_GLOSS	schimmel	schimmeln	DERIVATIONALLY_RELATED_FORM
3	deu	61735	93618	noun	verb	mold; mould; 	a fungus that produces a superficial growth on various kinds of damp or decaying organic matter	mold; mildew; 	become moldy; spoil due to humidity	schimmel; 	NO_GLOSS	verschimmeln; schimmeln; 	NO_GLOSS	schimmel	verschimmeln	DERIVATIONALLY_RELATED_FORM
4	deu	61735	93618	noun	verb	mold; mould; 	a fungus that produces a superficial growth on various kinds of damp or decaying organic matter	mold; mildew; 	become moldy; spoil due to humidity	schimmel; 	NO_GLOSS	verschimmeln; schimmeln; 	NO_GLOSS	schimmel	schimmeln	DERIVATIONALLY_RELATED_FORM
5	deu	39931	51068	noun	noun	misogyny; misogynism; 	hatred of women	misogynist; woman hater; 	a misanthrope who dislikes women in particular	frauenhass; frauenfeindlichkeit; misogynie; weiberhass; 	NO_GLOSS	frauenhasser; frauenhasserin; frauenfeind; frauenfeindin; misogyn; 	NO_GLOSS	frauenhass	frauenhasser	DERIVATIONALLY_RELATED_FORM
6	deu	39931	51068	noun	noun	misogyny; misogynism; 	hatred of women	misogynist; woman hater; 	a misanthrope who dislikes women in particular	frauenhass; frauenfeindlichkeit; misogynie; weiberhass; 	NO_GLOSS	frauenhasser; frauenhasserin; frauenfeind; frauenfeindin; misogyn; 	NO_GLOSS	frauenhass	frauenhasserin	DERIVATIONALLY_RELATED_FORM
7	deu	39931	51068	noun	noun	misogyny; misogynism; 	hatred of women	misogynist; woman hater; 	a misanthrope who dislikes women in particular	frauenhass; frauenfeindlichkeit; misogynie; weiberhass; 	NO_GLOSS	frauenhasser; frauenhasserin; frauenfeind; frauenfeindin; misogyn; 	NO_GLOSS	frauenfeindlichkeit	frauenfeind	DERIVATIONALLY_RELATED_FORM
8	deu	39931	51068	noun	noun	misogyny; misogynism; 	hatred of women	misogynist; woman hater; 	a misanthrope who dislikes women in particular	frauenhass; frauenfeindlichkeit; misogynie; weiberhass; 	NO_GLOSS	frauenhasser; frauenhasserin; frauenfeind; frauenfeindin; misogyn; 	NO_GLOSS	frauenfeindlichkeit	frauenfeindin	DERIVATIONALLY_RELATED_FORM
9	deu	39931	51068	noun	noun	misogyny; misogynism; 	hatred of women	misogynist; woman hater; 	a misanthrope who dislikes women in particular	frauenhass; frauenfeindlichkeit; misogynie; weiberhass; 	NO_GLOSS	frauenhasser; frauenhasserin; frauenfeind; frauenfeindin; misogyn; 	NO_GLOSS	misogynie	misogyn	DERIVATIONALLY_RELATED_FORM
10	deu	66965	74864	noun	adjective	pregnancy; gestation; maternity; 	the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus	pregnant; 	carrying developing offspring within the body or being about to produce new life	schwangerschaft; 	NO_GLOSS	schwanger; trächtig; 	NO_GLOSS	schwangerschaft	schwanger	DERIVATIONALLY_RELATED_FORM
