id	vocabulary_code	concept_a	concept_b	pos_a	pos_b	words_a_english	gloss_a_english	words_b_english	gloss_b_english	words_a_target	gloss_a_target	words_b_target	gloss_b_target	word_a	word_b	relation
1	hin	50530	52052	noun	noun	king; male monarch; rex; 	a male sovereign; ruler of a kingdom	queen; queen regnant; female monarch; 	a female sovereign ruler	राजा; बादशाह; 	NO_GLOSS	रानी; बेगम; 	NO_GLOSS	राजा	रानी	ANTONYM
2	hin	49619	50843	noun	noun	female child; girl; little girl; 	a youthful female person	male child; boy; 	a youthful male person	लड़की; 	NO_GLOSS	लड़का; 	NO_GLOSS	लड़की	लड़का	ANTONYM
3	hin	66659	79816	noun	adjective	happiness; felicity; 	state of well-being characterized by emotions ranging from contentment to intense joy	felicitous; happy; 	marked by good fortune	ख़ुशी; 	NO_GLOSS	ख़ुश; प्रसन्न; 	NO_GLOSS	ख़ुशी	ख़ुश	DERIVATIONALLY_RELATED_FORM
4	hin	51255	51283	noun	noun	nephew; 	a son of your brother or sister	niece; 	a daughter of your brother or sister	भतीजा; 	NO_GLOSS	भतीजी; 	NO_GLOSS	भतीजा	भतीजी	ANTONYM
5	hin	63935	93337	noun	verb	increase; increment; growth; 	a process of becoming larger or longer or more numerous or more important	increase; 	become bigger or greater in amount	बढाई; 	NO_GLOSS	बढना; 	NO_GLOSS	बढाई	बढना	DERIVATIONALLY_RELATED_FORM
6	hin	69357	85382	noun	adjective	poverty; poorness; impoverishment; 	the state of having little or no money and few or no material possessions	poor; 	having little money or few possessions	ग़रीबी; 	NO_GLOSS	ग़रीब; दीन; 	NO_GLOSS	ग़रीबी	ग़रीब	DERIVATIONALLY_RELATED_FORM
7	hin	66927	81063	noun	adjective	hunger; hungriness; 	a physiological need for food; the consequence of food deprivation	hungry; 	feeling hunger; feeling a need or desire to eat food	भूख; 	NO_GLOSS	भूखा; 	NO_GLOSS	भूख	भूखा	DERIVATIONALLY_RELATED_FORM
8	hin	63935	93321	noun	verb	increase; increment; growth; 	a process of becoming larger or longer or more numerous or more important	increase; 	make bigger or more	बढाई; 	NO_GLOSS	बढाना; 	NO_GLOSS	बढाई	बढाना	DERIVATIONALLY_RELATED_FORM
9	hin	3851	53242	noun	noun	terrorism; act of terrorism; terrorist act; 	the calculated use of violence (or threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear	terrorist; 	a radical who employs terror as a political weapon; usually organizes with other terrorists in small cells; often uses religion as a cover for terrorist activities	आतंकवाद; 	NO_GLOSS	आतंकवादी; 	NO_GLOSS	आतंकवाद	आतंकवादी	DERIVATIONALLY_RELATED_FORM
10	hin	66809	87847	noun	adjective	fatigue; weariness; tiredness; 	temporary loss of strength and energy resulting from hard physical or mental work	tired; 	depleted of strength or energy	थकान; 	NO_GLOSS	थका; 	NO_GLOSS	थकान	थका	DERIVATIONALLY_RELATED_FORM
