id	vocabulary_code	concept_a	concept_b	pos_a	pos_b	words_a_english	gloss_a_english	words_b_english	gloss_b_english	words_a_target	gloss_a_target	words_b_target	gloss_b_target	word_a	word_b	relation
1	hun	39931	51068	noun	noun	misogyny; misogynism; 	hatred of women	misogynist; woman hater; 	a misanthrope who dislikes women in particular	nőgyűlölet; mizogínia; 	NO_GLOSS	nőgyűlölő; 	NO_GLOSS	nőgyűlölet	nőgyűlölő	DERIVATIONALLY_RELATED_FORM
2	hun	66965	74864	noun	adjective	pregnancy; gestation; maternity; 	the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus	pregnant; 	carrying developing offspring within the body or being about to produce new life	terhesség; 	NO_GLOSS	terhes; 	NO_GLOSS	terhesség	terhes	DERIVATIONALLY_RELATED_FORM
3	hun	63164	85380	noun	adjective	wealth; riches; 	an abundance of material possessions and resources	affluent; flush; loaded; moneyed; wealthy; 	having an abundant supply of money or possessions of value	gazdagság; 	NO_GLOSS	gazdag; vagyonos; 	NO_GLOSS	gazdagság	gazdag	DERIVATIONALLY_RELATED_FORM
4	hun	70444	99151	noun	verb	glue; gum; mucilage; 	cement consisting of a sticky substance that is used as an adhesive	glue; paste; 	join or attach with or as if with glue	ragasztó; 	NO_GLOSS	beilleszt; ragaszt; 	NO_GLOSS	ragasztó	ragaszt	DERIVATIONALLY_RELATED_FORM
5	hun	50530	52052	noun	noun	king; male monarch; rex; 	a male sovereign; ruler of a kingdom	queen; queen regnant; female monarch; 	a female sovereign ruler	király; 	NO_GLOSS	királynő; 	NO_GLOSS	király	királynő	ANTONYM
6	hun	4045	97563	noun	verb	risk; peril; danger; 	a venture undertaken without regard to possible loss or injury	queer; expose; scupper; endanger; peril; 	put in a dangerous, disadvantageous, or difficult position	veszély; 	NO_GLOSS	veszélyeztet; 	NO_GLOSS	veszély	veszélyeztet	DERIVATIONALLY_RELATED_FORM
7	hun	39896	101635	noun	verb	hope; 	the general feeling that some desire will be fulfilled	hope; trust; desire; 	expect and wish	remény; 	NO_GLOSS	remél; 	NO_GLOSS	remény	remél	DERIVATIONALLY_RELATED_FORM
8	hun	1854	48019	noun	noun	arson; incendiarism; fire-raising; 	malicious burning to destroy property	arsonist; incendiary; firebug; 	a criminal who illegally sets fire to property	gyújtogatás; 	NO_GLOSS	gyújtogató; 	NO_GLOSS	gyújtogatás	gyújtogató	DERIVATIONALLY_RELATED_FORM
9	hun	6164	104533	noun	verb	employment; engagement; 	the act of giving someone a job	hire; engage; employ; 	engage or hire for work	alkalmazás; 	NO_GLOSS	alkalmaz; 	NO_GLOSS	alkalmazás	alkalmaz	DERIVATIONALLY_RELATED_FORM
10	hun	1107	94306	noun	verb	beginning; start; commencement; 	the act of starting something	get down; begin; get; start out; start; set about; set out; commence; 	take the first step or steps in carrying out an action	kezdet; 	NO_GLOSS	kezd; elkezd; 	NO_GLOSS	kezdet	kezd	DERIVATIONALLY_RELATED_FORM
11	hun	46009	76572	noun	adjective	cloud; 	a visible mass of water or ice particles suspended at a considerable altitude	cloudy; 	full of or covered with clouds	felhő; felleg; 	NO_GLOSS	felhős; 	NO_GLOSS	felhő	felhős	DERIVATIONALLY_RELATED_FORM
12	hun	31278	98400	noun	verb	tasting; 	a small amount (especially of food or wine)	sample; try; try out; taste; 	take a sample of	kóstolás; 	NO_GLOSS	ízlel; kóstol; 	NO_GLOSS	kóstolás	kóstol	DERIVATIONALLY_RELATED_FORM
13	hun	1345	102075	noun	verb	amble; promenade; saunter; stroll; perambulation; 	a leisurely walk (usually in some public place)	stroll; saunter; 	walk leisurely and with no apparent aim	sétány; promenád; 	NO_GLOSS	gyalogol; sétál; 	NO_GLOSS	sétány	sétál	DERIVATIONALLY_RELATED_FORM
14	hun	624	103265	noun	verb	autopsy; necropsy; postmortem; post-mortem; pm; postmortem examination; post-mortem examination; 	an examination and dissection of a dead body to determine cause of death or the changes produced by disease	autopsy; 	perform an autopsy on a dead body; do a post-mortem	boncolás; 	NO_GLOSS	boncol; 	NO_GLOSS	boncolás	boncol	DERIVATIONALLY_RELATED_FORM
