id	vocabulary_code	concept_a	concept_b	pos_a	pos_b	words_a_english	gloss_a_english	words_b_english	gloss_b_english	words_a_target	gloss_a_target	words_b_target	gloss_b_target	word_a	word_b	relation
1	rus	44447	92055	noun	adjective	tribe; folk; 	a social division of (usually preliterate) people	tribal; 	relating to or characteristic of a tribe	племя; 	NO_GLOSS	племенной; 	NO_GLOSS	племя	племенной	DERIVATIONALLY_RELATED_FORM
2	rus	39931	51068	noun	noun	misogyny; misogynism; 	hatred of women	misogynist; woman hater; 	a misanthrope who dislikes women in particular	женоненавистничество; мизогиния; 	NO_GLOSS	женоненавистник; мизогинист; женофоб; 	NO_GLOSS	женоненавистничество	женоненавистник	DERIVATIONALLY_RELATED_FORM
3	rus	39931	51068	noun	noun	misogyny; misogynism; 	hatred of women	misogynist; woman hater; 	a misanthrope who dislikes women in particular	женоненавистничество; мизогиния; 	NO_GLOSS	женоненавистник; мизогинист; женофоб; 	NO_GLOSS	мизогиния	мизогинист	DERIVATIONALLY_RELATED_FORM
4	rus	66965	74864	noun	adjective	pregnancy; gestation; maternity; 	the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus	pregnant; 	carrying developing offspring within the body or being about to produce new life	беременность; 	NO_GLOSS	беременная; в положении; 	NO_GLOSS	беременность	беременная	DERIVATIONALLY_RELATED_FORM
5	rus	69349	85380	noun	adjective	affluence; richness; 	abundant wealth	affluent; flush; loaded; moneyed; wealthy; 	having an abundant supply of money or possessions of value	изобилие; богатство; 	NO_GLOSS	богатый; состоятельный; зажиточный; обеспеченный; 	NO_GLOSS	богатство	богатый	DERIVATIONALLY_RELATED_FORM
6	rus	63164	85380	noun	adjective	wealth; riches; 	an abundance of material possessions and resources	affluent; flush; loaded; moneyed; wealthy; 	having an abundant supply of money or possessions of value	богатство; благосостояние; 	NO_GLOSS	богатый; состоятельный; зажиточный; обеспеченный; 	NO_GLOSS	богатство	богатый	DERIVATIONALLY_RELATED_FORM
7	rus	37943	96374	noun	verb	controversy; contention; contestation; disputation; disceptation; tilt; argument; arguing; 	a contentious speech act; a dispute where there is strong disagreement	argue; contend; debate; fence; 	have an argument about something	спор; дискуссия; разногласия; 	NO_GLOSS	спорить; обсуждать; 	NO_GLOSS	спор	спорить	DERIVATIONALLY_RELATED_FORM
8	rus	37730	96374	noun	verb	argument; argumentation; debate; 	a discussion in which reasons are advanced for and against some proposition or proposal	argue; contend; debate; fence; 	have an argument about something	дебаты; дискуссия; спор; 	NO_GLOSS	спорить; обсуждать; 	NO_GLOSS	спор	спорить	DERIVATIONALLY_RELATED_FORM
9	rus	4524	95610	noun	verb	exercise; practice; drill; practice session; recitation; 	systematic training by multiple repetitions	drill; exercise; practice; practise; 	learn by repetition	муштра; тренировка; строевая подготовка; практика; упражнение; 	NO_GLOSS	практиковаться; попрактиковаться; 	NO_GLOSS	практика	практиковаться	DERIVATIONALLY_RELATED_FORM
10	rus	6238	96460	noun	verb	convocation; calling together; 	the act of convoking	convoke; convene; 	call together	созыв; 	NO_GLOSS	созывать; собирать; 	NO_GLOSS	созыв	созывать	DERIVATIONALLY_RELATED_FORM
11	rus	68940	96562	noun	verb	recognition; acknowledgment; acknowledgement; 	the state or quality of being recognized or acknowledged	admit; acknowledge; 	declare to be true or admit the existence or reality or truth of	признание; 	NO_GLOSS	допускать; допустить; признавать; признать; 	NO_GLOSS	признание	признать	DERIVATIONALLY_RELATED_FORM
12	rus	3101	97360	noun	verb	writing; committal to writing; 	the activity of putting something in written form	write; 	communicate or express by writing	писание; письмо; 	NO_GLOSS	писать; написать; 	NO_GLOSS	писание	писать	DERIVATIONALLY_RELATED_FORM
13	rus	39980	78917	noun	adjective	eagerness; avidity; avidness; keenness; 	a positive feeling of wanting to push ahead with something	avid; great; eager; zealous; 	marked by active interest and enthusiasm	усердие; энергичность; 	NO_GLOSS	рьяный; усердный; ревностный; 	NO_GLOSS	усердие	усердный	DERIVATIONALLY_RELATED_FORM
14	rus	39981	78917	noun	adjective	ardor; ardour; elan; zeal; 	a feeling of strong eagerness (usually in favor of a person or cause)	avid; great; eager; zealous; 	marked by active interest and enthusiasm	рвение; усердие; 	NO_GLOSS	рьяный; усердный; ревностный; 	NO_GLOSS	усердие	усердный	DERIVATIONALLY_RELATED_FORM
15	rus	39851	81576	noun	adjective	sadness; unhappiness; 	emotions experienced when not in a state of well-being	sad; 	experiencing or showing sorrow or unhappiness	печаль; 	NO_GLOSS	грустный; печальный; 	NO_GLOSS	печаль	печальный	DERIVATIONALLY_RELATED_FORM
16	rus	32523	91433	noun	adjective	hydrodynamics; hydrokinetics; 	study of fluids in motion	hydrodynamic; 	of or relating to hydrodynamics	гидродинамика; 	NO_GLOSS	гидродинамический; 	NO_GLOSS	гидродинамика	гидродинамический	DERIVATIONALLY_RELATED_FORM
17	rus	39834	81605	noun	adjective	hilarity; mirth; mirthfulness; glee; gleefulness; 	great merriment	gay; jocund; jolly; jovial; merry; mirthful; 	full of or showing high-spirited merriment	радость; 	NO_GLOSS	весёлый; радостный; жизнерадостный; 	NO_GLOSS	радость	радостный	DERIVATIONALLY_RELATED_FORM
18	rus	27330	88323	noun	adjective	ferocity; fierceness; furiousness; fury; vehemence; violence; wildness; 	the property of being wild or turbulent	ferocious; fierce; furious; savage; 	marked by extreme and violent energy	сила; неистовство; ярость; свирепость; 	NO_GLOSS	свирепый; лютый; неистовый; 	NO_GLOSS	неистовство	неистовый	DERIVATIONALLY_RELATED_FORM
19	rus	27330	88323	noun	adjective	ferocity; fierceness; furiousness; fury; vehemence; violence; wildness; 	the property of being wild or turbulent	ferocious; fierce; furious; savage; 	marked by extreme and violent energy	сила; неистовство; ярость; свирепость; 	NO_GLOSS	свирепый; лютый; неистовый; 	NO_GLOSS	свирепость	свирепый	DERIVATIONALLY_RELATED_FORM
20	rus	31757	88753	noun	adjective	exemplar; example; model; good example; 	something to be imitated	exemplary; model; 	worthy of imitation	пример; образец; эталон; 	NO_GLOSS	образцовый; 	NO_GLOSS	образец	образцовый	DERIVATIONALLY_RELATED_FORM
21	rus	70444	99151	noun	verb	glue; gum; mucilage; 	cement consisting of a sticky substance that is used as an adhesive	glue; paste; 	join or attach with or as if with glue	клей; 	NO_GLOSS	вставить; клеить; склеить; приклеить; 	NO_GLOSS	клей	клеить	DERIVATIONALLY_RELATED_FORM
22	rus	50530	52052	noun	noun	king; male monarch; rex; 	a male sovereign; ruler of a kingdom	queen; queen regnant; female monarch; 	a female sovereign ruler	король; царь; 	NO_GLOSS	королева; царица; 	NO_GLOSS	король	королева	ANTONYM
23	rus	50530	52052	noun	noun	king; male monarch; rex; 	a male sovereign; ruler of a kingdom	queen; queen regnant; female monarch; 	a female sovereign ruler	король; царь; 	NO_GLOSS	королева; царица; 	NO_GLOSS	царь	царица	ANTONYM
24	rus	70156	99497	noun	verb	nickel; ni; atomic number 28; 	a hard malleable ductile silvery metallic element that is resistant to corrosion; used in alloys; occurs in pentlandite and smaltite and garnierite and millerite	nickel; 	plate with nickel	никель; 	NO_GLOSS	никелировать; 	NO_GLOSS	никель	никелировать	DERIVATIONALLY_RELATED_FORM
